row: 1025 , cols: 29535, CPU data: 62.01 , GPU data: 87.60 are not equal, with difference (25.5876007080) 
row: 1025 , cols: 29696, CPU data: 65.30 , GPU data: 90.87 are not equal, with difference (25.5742263794) 
row: 1025 , cols: 29697, CPU data: 39.56 , GPU data: 95.60 are not equal, with difference (56.0432662964) 
row: 1025 , cols: 29698, CPU data: 63.15 , GPU data: 34.21 are not equal, with difference (-28.9453506470) 
row: 1025 , cols: 29699, CPU data: 69.35 , GPU data: 70.86 are not equal, with difference (1.5048522949) 
row: 1025 , cols: 29700, CPU data: 31.40 , GPU data: 103.48 are not equal, with difference (72.0788345337) 
row: 1025 , cols: 29701, CPU data: 11.18 , GPU data: 56.57 are not equal, with difference (45.3882026672) 
row: 1025 , cols: 29702, CPU data: 43.38 , GPU data: 54.42 are not equal, with difference (11.0422363281) 
row: 1025 , cols: 29703, CPU data: 23.02 , GPU data: 49.77 are not equal, with difference (26.7477416992) 
row: 1025 , cols: 29704, CPU data: 66.60 , GPU data: 73.68 are not equal, with difference (7.0784454346) 
row: 1025 , cols: 29705, CPU data: 27.02 , GPU data: 57.22 are not equal, with difference (30.2003669739) 
row: 1025 , cols: 29706, CPU data: 68.03 , GPU data: 69.46 are not equal, with difference (1.4328155518) 
row: 1025 , cols: 29707, CPU data: 61.81 , GPU data: 27.02 are not equal, with difference (-34.7957267761) 
row: 1025 , cols: 29708, CPU data: 60.02 , GPU data: 49.34 are not equal, with difference (-10.6810760498) 
row: 1025 , cols: 29709, CPU data: 48.33 , GPU data: 23.54 are not equal, with difference (-24.7949790955) 
row: 1025 , cols: 29710, CPU data: 51.87 , GPU data: 93.90 are not equal, with difference (42.0389938354) 
row: 1025 , cols: 29711, CPU data: 26.08 , GPU data: 82.73 are not equal, with difference (56.6577033997) 
row: 1025 , cols: 29712, CPU data: 83.10 , GPU data: 84.63 are not equal, with difference (1.5322723389) 
row: 1025 , cols: 29713, CPU data: 65.76 , GPU data: 94.13 are not equal, with difference (28.3681488037) 
row: 1025 , cols: 29714, CPU data: 2.24 , GPU data: 64.07 are not equal, with difference (61.8342056274) 
row: 1025 , cols: 29715, CPU data: 35.11 , GPU data: 61.07 are not equal, with difference (25.9596252441) 
row: 1025 , cols: 29716, CPU data: 102.62 , GPU data: 75.24 are not equal, with difference (-27.3761749268) 
row: 1025 , cols: 29717, CPU data: 48.60 , GPU data: 98.01 are not equal, with difference (49.4046936035) 
row: 1025 , cols: 29718, CPU data: 9.90 , GPU data: 69.35 are not equal, with difference (59.4546699524) 
row: 1025 , cols: 29719, CPU data: 98.49 , GPU data: 76.01 are not equal, with difference (-22.4820022583) 
row: 1025 , cols: 29720, CPU data: 61.40 , GPU data: 14.32 are not equal, with difference (-47.0825042725) 
row: 1025 , cols: 29721, CPU data: 83.60 , GPU data: 93.62 are not equal, with difference (10.0213394165) 
row: 1025 , cols: 29722, CPU data: 93.60 , GPU data: 79.91 are not equal, with difference (-13.6940155029) 
row: 1025 , cols: 29723, CPU data: 71.17 , GPU data: 98.41 are not equal, with difference (27.2435836792) 
row: 1025 , cols: 29724, CPU data: 72.34 , GPU data: 76.16 are not equal, with difference (3.8182525635) 
row: 1025 , cols: 29725, CPU data: 48.66 , GPU data: 43.27 are not equal, with difference (-5.3954849243) 
row: 1025 , cols: 29726, CPU data: 110.39 , GPU data: 37.22 are not equal, with difference (-73.1701049805) 
row: 1025 , cols: 29727, CPU data: 72.18 , GPU data: 91.81 are not equal, with difference (19.6292572021) 
row: 1025 , cols: 29760, CPU data: 92.36 , GPU data: 38.29 are not equal, with difference (-54.0696220398) 
row: 1025 , cols: 29761, CPU data: 76.92 , GPU data: 2.83 are not equal, with difference (-74.0936050415) 
row: 1025 , cols: 29762, CPU data: 94.54 , GPU data: 39.05 are not equal, with difference (-55.4897460938) 
row: 1025 , cols: 29763, CPU data: 30.07 , GPU data: 33.84 are not equal, with difference (3.7712554932) 
row: 1025 , cols: 29764, CPU data: 60.11 , GPU data: 69.00 are not equal, with difference (8.8917655945) 
row: 1025 , cols: 29765, CPU data: 88.39 , GPU data: 67.74 are not equal, with difference (-20.6490173340) 
row: 1025 , cols: 29766, CPU data: 27.73 , GPU data: 94.85 are not equal, with difference (67.1163940430) 
row: 1025 , cols: 29767, CPU data: 21.02 , GPU data: 102.16 are not equal, with difference (81.1329498291) 
row: 1025 , cols: 29768, CPU data: 31.24 , GPU data: 52.70 are not equal, with difference (21.4562511444) 
row: 1025 , cols: 29769, CPU data: 81.49 , GPU data: 19.92 are not equal, with difference (-61.5674743652) 
row: 1025 , cols: 29770, CPU data: 38.01 , GPU data: 81.06 are not equal, with difference (43.0423774719) 
row: 1025 , cols: 29771, CPU data: 78.03 , GPU data: 46.01 are not equal, with difference (-32.0147666931) 
row: 1025 , cols: 29772, CPU data: 65.15 , GPU data: 24.35 are not equal, with difference (-40.7943954468) 
row: 1025 , cols: 29773, CPU data: 62.39 , GPU data: 36.89 are not equal, with difference (-25.5021743774) 
row: 1025 , cols: 29774, CPU data: 92.44 , GPU data: 70.09 are not equal, with difference (-22.3517837524) 
row: 1025 , cols: 29775, CPU data: 44.01 , GPU data: 81.88 are not equal, with difference (37.8726997375) 
row: 1025 , cols: 29776, CPU data: 48.26 , GPU data: 36.40 are not equal, with difference (-11.8591613770) 
row: 1025 , cols: 29777, CPU data: 66.48 , GPU data: 24.70 are not equal, with difference (-41.7849006653) 
row: 1025 , cols: 29778, CPU data: 46.52 , GPU data: 70.86 are not equal, with difference (24.3402023315) 
row: 1025 , cols: 29779, CPU data: 83.24 , GPU data: 18.25 are not equal, with difference (-64.9923248291) 
row: 1025 , cols: 29780, CPU data: 83.82 , GPU data: 98.62 are not equal, with difference (14.8001480103) 
row: 1025 , cols: 29781, CPU data: 67.74 , GPU data: 39.85 are not equal, with difference (-27.8924407959) 
row: 1025 , cols: 29782, CPU data: 67.27 , GPU data: 9.06 are not equal, with difference (-58.2127342224) 
row: 1025 , cols: 29783, CPU data: 76.97 , GPU data: 88.14 are not equal, with difference (11.1744003296) 
row: 1025 , cols: 29784, CPU data: 42.19 , GPU data: 35.51 are not equal, with difference (-6.6794815063) 
row: 1025 , cols: 29785, CPU data: 77.20 , GPU data: 58.19 are not equal, with difference (-19.0116882324) 
row: 1025 , cols: 29786, CPU data: 86.40 , GPU data: 70.71 are not equal, with difference (-15.6895523071) 
row: 1025 , cols: 29787, CPU data: 96.42 , GPU data: 96.46 are not equal, with difference (0.0414733887) 
row: 1025 , cols: 29788, CPU data: 60.81 , GPU data: 24.76 are not equal, with difference (-36.0523452759) 
row: 1025 , cols: 29789, CPU data: 92.05 , GPU data: 30.41 are not equal, with difference (-61.6350860596) 
row: 1025 , cols: 29790, CPU data: 71.18 , GPU data: 22.36 are not equal, with difference (-48.8151626587) 
row: 1025 , cols: 29791, CPU data: 65.00 , GPU data: 89.04 are not equal, with difference (24.0449295044) 
row: 1025 , cols: 29952, CPU data: 36.24 , GPU data: 24.84 are not equal, with difference (-11.3958549500) 
row: 1025 , cols: 29953, CPU data: 94.64 , GPU data: 58.22 are not equal, with difference (-36.4263076782) 
row: 1025 , cols: 29954, CPU data: 93.35 , GPU data: 16.12 are not equal, with difference (-77.2242889404) 
row: 1025 , cols: 29955, CPU data: 63.63 , GPU data: 93.19 are not equal, with difference (29.5615921021) 
row: 1025 , cols: 29956, CPU data: 91.01 , GPU data: 34.13 are not equal, with difference (-56.8733978271) 
row: 1025 , cols: 29957, CPU data: 75.82 , GPU data: 50.22 are not equal, with difference (-25.6026420593) 
row: 1025 , cols: 29958, CPU data: 40.02 , GPU data: 56.14 are not equal, with difference (16.1176795959) 
row: 1025 , cols: 29959, CPU data: 109.42 , GPU data: 33.38 are not equal, with difference (-76.0399932861) 
row: 1025 , cols: 29960, CPU data: 71.22 , GPU data: 87.66 are not equal, with difference (16.4461593628) 
row: 1025 , cols: 29961, CPU data: 54.12 , GPU data: 48.37 are not equal, with difference (-5.7466888428) 
row: 1025 , cols: 29962, CPU data: 32.02 , GPU data: 31.91 are not equal, with difference (-0.1095085144) 
row: 1025 , cols: 29963, CPU data: 61.72 , GPU data: 89.45 are not equal, with difference (27.7367973328) 
